     ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput (bits) ,DL_goodput (bits) ,UL_throughput (bits) ,UL_goodput (bits) ,TTI ,PulseBWoffset ,numRBs ,NumFrames ,prf  ,FreqOffset ,PulseWidth             ,BW       ,numPulses ,pulseIdxOffset_ms
   0 ,   1 ,       138 ,      73 ,        65 ,    22.25 ,        47 ,      19 ,        28 ,    22.09 ,               82480 ,            35792 ,               30656 ,            10864 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   1 ,   2 ,       144 ,      79 ,        65 ,    20.86 ,        47 ,      19 ,        28 ,    22.26 ,               90608 ,            42656 ,               31408 ,            10336 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   2 ,   3 ,       143 ,      75 ,        68 ,    21.2  ,        43 ,      20 ,        23 ,    21.33 ,               86880 ,            37656 ,               30368 ,            11792 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   3 ,   4 ,       145 ,      78 ,        67 ,    21.08 ,        40 ,      19 ,        21 ,    21.75 ,               86888 ,            41584 ,               28368 ,            11656 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   4 ,   5 ,       144 ,      80 ,        64 ,    21.29 ,        45 ,      22 ,        23 ,    20.87 ,               71128 ,            37248 ,               29280 ,            12184 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   5 ,   6 ,       143 ,      77 ,        66 ,    21.17 ,        40 ,      22 ,        18 ,    20.78 ,               80624 ,            37976 ,               27344 ,            12296 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   6 ,   7 ,       144 ,      74 ,        70 ,    21.5  ,        40 ,      22 ,        18 ,    21.38 ,               82728 ,            37408 ,               27656 ,            14064 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   7 ,   8 ,       141 ,      77 ,        64 ,    21.04 ,        45 ,      20 ,        25 ,    21.49 ,               78096 ,            37904 ,               27448 ,            12032 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   8 ,   9 ,       146 ,      77 ,        69 ,    20.43 ,        42 ,      20 ,        22 ,    20.1  ,               76024 ,            34784 ,               24400 ,            11664 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
   9 ,  10 ,       141 ,      79 ,        62 ,    21.29 ,        48 ,      19 ,        29 ,    21.5  ,               84512 ,            45016 ,               32680 ,            12880 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  10 ,  11 ,       136 ,      76 ,        60 ,    21.36 ,        48 ,      20 ,        28 ,    20.9  ,              101080 ,            54712 ,               29224 ,            12384 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  11 ,  12 ,       137 ,      74 ,        63 ,    22.5  ,        45 ,      19 ,        26 ,    22.0  ,               89144 ,            47256 ,               29896 ,            12856 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  12 ,  13 ,       141 ,      78 ,        63 ,    21.92 ,        43 ,      18 ,        25 ,    22.12 ,              101496 ,            52488 ,               24688 ,            10632 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  13 ,  14 ,       142 ,      76 ,        66 ,    21.42 ,        39 ,      20 ,        19 ,    20.08 ,              104384 ,            48856 ,               23048 ,            11984 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  14 ,  15 ,       145 ,      76 ,        69 ,    20.92 ,        40 ,      22 ,        18 ,    19.52 ,              108136 ,            47520 ,               22240 ,            12816 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  15 ,  16 ,       143 ,      75 ,        68 ,    20.93 ,        42 ,      22 ,        20 ,    19.81 ,               91528 ,            48520 ,               20120 ,            11592 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  16 ,  17 ,       142 ,      67 ,        75 ,    21.97 ,        39 ,      21 ,        18 ,    20.36 ,               88936 ,            36256 ,               21592 ,            11312 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  17 ,  18 ,       136 ,      70 ,        66 ,    22.24 ,        40 ,      21 ,        19 ,    20.6  ,               81632 ,            37960 ,               24136 ,            11984 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  18 ,  19 ,       147 ,      78 ,        69 ,    20.56 ,        38 ,      19 ,        19 ,    20.74 ,               75632 ,            37680 ,               25048 ,            10728 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  19 ,  20 ,       143 ,      73 ,        70 ,    21.02 ,        41 ,      21 ,        20 ,    20.2  ,               79040 ,            35672 ,               25456 ,            11472 ,  4 ,      5000000 ,    51 ,        5 ,2500 ,   5000000 ,7.309999999999999e-05  , 5000000 ,        1 ,                0
  20 ,   1 ,        88 ,      62 ,        26 ,    20.91 ,        24 ,      18 ,         6 ,    20.96 ,              128312 ,            84256 ,               32712 ,            27696 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  21 ,   2 ,        86 ,      62 ,        24 ,    21.14 ,        26 ,      19 ,         7 ,    20.35 ,              119480 ,            81312 ,               37136 ,            28336 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  22 ,   3 ,        87 ,      64 ,        23 ,    20.14 ,        26 ,      19 ,         7 ,    19.96 ,              117472 ,            81360 ,               35616 ,            27328 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  23 ,   4 ,        87 ,      62 ,        25 ,    20.69 ,        25 ,      18 ,         7 ,    20.16 ,              122816 ,            83312 ,               34824 ,            26152 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  24 ,   5 ,        92 ,      59 ,        33 ,    21.15 ,        24 ,      17 ,         7 ,    21.33 ,              123600 ,            81520 ,               35272 ,            26472 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  25 ,   6 ,        94 ,      60 ,        34 ,    20.48 ,        25 ,      18 ,         7 ,    18.92 ,              120752 ,            77552 ,               31712 ,            22464 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  26 ,   7 ,        89 ,      59 ,        30 ,    20.2  ,        28 ,      17 ,        11 ,    19.61 ,              107264 ,            73840 ,               36440 ,            19672 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  27 ,   8 ,        86 ,      61 ,        25 ,    19.59 ,        28 ,      16 ,        12 ,    19.82 ,              113384 ,            77968 ,               36784 ,            19856 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  28 ,   9 ,        86 ,      60 ,        26 ,    20.56 ,        26 ,      15 ,        11 ,    20.38 ,              113552 ,            79432 ,               34984 ,            19792 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  29 ,  10 ,        88 ,      59 ,        29 ,    20.08 ,        26 ,      16 ,        10 ,    20.12 ,              118504 ,            76056 ,               36944 ,            21736 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  30 ,  11 ,        90 ,      60 ,        30 ,    20.42 ,        26 ,      18 ,         8 ,    20.19 ,              124536 ,            80704 ,               38888 ,            24144 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  31 ,  12 ,        85 ,      58 ,        27 ,    21.31 ,        26 ,      18 ,         8 ,    20.77 ,              117408 ,            79256 ,               39656 ,            24528 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  32 ,  13 ,        88 ,      60 ,        28 ,    20.42 ,        25 ,      17 ,         8 ,    22.32 ,              123920 ,            80968 ,               38840 ,            25472 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  33 ,  14 ,        82 ,      60 ,        22 ,    19.96 ,        22 ,      17 ,         5 ,    20.14 ,              114712 ,            77544 ,               33056 ,            24928 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  34 ,  15 ,        81 ,      61 ,        20 ,    19.99 ,        21 ,      17 ,         4 ,    21.48 ,              112968 ,            76192 ,               34352 ,            27832 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  35 ,  16 ,        82 ,      58 ,        24 ,    20.71 ,        21 ,      17 ,         4 ,    20.0  ,              115720 ,            75424 ,               31384 ,            24864 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  36 ,  17 ,        84 ,      63 ,        21 ,    19.86 ,        22 ,      18 ,         4 ,    19.77 ,              113304 ,            80968 ,               32096 ,            25960 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  37 ,  18 ,        86 ,      60 ,        26 ,    20.41 ,        21 ,      17 ,         4 ,    19.95 ,              120000 ,            79456 ,               32016 ,            25512 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  38 ,  19 ,        88 ,      60 ,        28 ,    20.82 ,        23 ,      17 ,         6 ,    19.52 ,              123400 ,            80400 ,               30360 ,            25344 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  39 ,  20 ,        86 ,      62 ,        24 ,    21.41 ,        24 ,      18 ,         6 ,    20.29 ,              129512 ,            85536 ,               34272 ,            27624 ,  7 ,      2000000 ,    51 ,        5 ,1500 ,   2000000 ,6.0799999999999994e-05 , 2000000 ,        1 ,                0
  40 ,   1 ,       137 ,      71 ,        66 ,    22.17 ,        47 ,      30 ,        17 ,    21.51 ,               80072 ,            40496 ,               33816 ,            18928 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  41 ,   2 ,       137 ,      75 ,        62 ,    22.23 ,        45 ,      31 ,        14 ,    20.91 ,               78336 ,            40896 ,               29200 ,            18536 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  42 ,   3 ,       136 ,      77 ,        59 ,    21.81 ,        45 ,      31 ,        14 ,    20.76 ,               79144 ,            42848 ,               29472 ,            17984 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  43 ,   4 ,       138 ,      71 ,        67 ,    22.41 ,        46 ,      31 ,        15 ,    20.98 ,               89456 ,            42824 ,               29376 ,            17744 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  44 ,   5 ,       139 ,      74 ,        65 ,    22.49 ,        48 ,      29 ,        19 ,    20.96 ,               83880 ,            43496 ,               30160 ,            16448 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  45 ,   6 ,       136 ,      76 ,        60 ,    22.23 ,        46 ,      28 ,        18 ,    20.39 ,               89808 ,            45824 ,               28408 ,            15352 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  46 ,   7 ,       143 ,      85 ,        58 ,    21.3  ,        48 ,      27 ,        21 ,    20.75 ,               88816 ,            47520 ,               31784 ,            15600 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  47 ,   8 ,       145 ,      83 ,        62 ,    20.96 ,        44 ,      27 ,        17 ,    20.16 ,               99752 ,            51064 ,               29176 ,            15536 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  48 ,   9 ,       144 ,      79 ,        65 ,    22.32 ,        52 ,      28 ,        24 ,    21.75 ,               85168 ,            40480 ,               36640 ,            18152 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  49 ,  10 ,       144 ,      80 ,        64 ,    21.84 ,        51 ,      28 ,        23 ,    21.25 ,               82920 ,            40144 ,               36896 ,            17776 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  50 ,  11 ,       145 ,      79 ,        66 ,    21.68 ,        50 ,      27 ,        23 ,    21.16 ,               91184 ,            43648 ,               33752 ,            17040 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  51 ,  12 ,       145 ,      86 ,        59 ,    21.17 ,        44 ,      27 ,        17 ,    19.66 ,               85192 ,            45256 ,               27312 ,            15608 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  52 ,  13 ,       150 ,      87 ,        63 ,    20.67 ,        45 ,      28 ,        17 ,    21.69 ,               86536 ,            42024 ,               27888 ,            17152 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  53 ,  14 ,       146 ,      83 ,        63 ,    21.47 ,        49 ,      28 ,        21 ,    21.37 ,               75312 ,            38056 ,               29216 ,            16880 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  54 ,  15 ,       146 ,      83 ,        63 ,    20.92 ,        47 ,      27 ,        20 ,    21.04 ,               88312 ,            41936 ,               28336 ,            16896 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  55 ,  16 ,       151 ,      87 ,        64 ,    21.05 ,        49 ,      30 ,        19 ,    19.92 ,               78056 ,            38864 ,               27704 ,            17104 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  56 ,  17 ,       145 ,      86 ,        59 ,    21.28 ,        50 ,      29 ,        21 ,    21.16 ,               75032 ,            40016 ,               28552 ,            16688 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  57 ,  18 ,       147 ,      85 ,        62 ,    21.2  ,        47 ,      27 ,        20 ,    21.87 ,               74880 ,            39592 ,               31664 ,            16320 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  58 ,  19 ,       140 ,      80 ,        60 ,    20.9  ,        47 ,      28 ,        19 ,    21.02 ,               89296 ,            45520 ,               29904 ,            16264 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  59 ,  20 ,       134 ,      71 ,        63 ,    21.73 ,        45 ,      29 ,        16 ,    19.67 ,               80504 ,            40992 ,               27936 ,            15216 ,  4 ,            0 ,    51 ,        5 ,3200 ,         0 ,6.5e-06                ,10000000 ,        1 ,                0
  60 ,   1 ,        31 ,      14 ,        17 ,    17.97 ,        11 ,       4 ,         7 ,    14.09 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  61 ,   2 ,        35 ,      14 ,        21 ,    17.91 ,        13 ,       4 ,         9 ,    13.15 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  62 ,   3 ,        35 ,      16 ,        19 ,    17.4  ,        11 ,       4 ,         7 ,    11.73 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  63 ,   4 ,        38 ,      16 ,        22 ,    19.16 ,        12 ,       3 ,         9 ,    11.75 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  64 ,   5 ,        33 ,      16 ,        17 ,    17.7  ,         9 ,       3 ,         6 ,    11.89 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  65 ,   6 ,        34 ,      16 ,        18 ,    17.94 ,        13 ,       4 ,         9 ,    14.92 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  66 ,   7 ,        33 ,      16 ,        17 ,    18.73 ,         9 ,       3 ,         6 ,    12.22 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  67 ,   8 ,        36 ,      16 ,        20 ,    19.86 ,         8 ,       2 ,         6 ,    13.25 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  68 ,   9 ,        32 ,      14 ,        18 ,    19.62 ,        11 ,       3 ,         8 ,    16.45 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  69 ,  10 ,        34 ,      14 ,        20 ,    18.15 ,         8 ,       2 ,         6 ,    13.0  ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  70 ,  11 ,        34 ,      16 ,        18 ,    19.38 ,         9 ,       3 ,         6 ,    17.56 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  71 ,  12 ,        35 ,      14 ,        21 ,    21.11 ,         9 ,       3 ,         6 ,    11.78 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  72 ,  13 ,        32 ,      15 ,        17 ,    17.5  ,        12 ,       3 ,         9 ,    11.17 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  73 ,  14 ,        30 ,      14 ,        16 ,    15.37 ,        12 ,       4 ,         8 ,    11.17 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  74 ,  15 ,        31 ,      15 ,        16 ,    14.94 ,        13 ,       4 ,         9 ,    12.85 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  75 ,  16 ,        32 ,      15 ,        17 ,    16.53 ,        13 ,       4 ,         9 ,    11.77 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  76 ,  17 ,        35 ,      16 ,        19 ,    16.09 ,        12 ,       4 ,         8 ,    11.0  ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  77 ,  18 ,        31 ,      16 ,        15 ,    16.52 ,        13 ,       4 ,         9 ,    12.38 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  78 ,  19 ,        33 ,      15 ,        18 ,    15.67 ,         9 ,       3 ,         6 ,    11.67 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  79 ,  20 ,        36 ,      15 ,        21 ,    20.56 ,        11 ,       4 ,         7 ,    14.64 ,                   0 ,                0 ,                   0 ,                0 , 14 ,     25000000 ,    51 ,        5 ,3000 ,  25000000 ,9.91e-05               , 5000000 ,        1 ,                0
  80 ,   1 ,        83 ,      56 ,        27 ,    24.16 ,        19 ,      14 ,         5 ,    26.47 ,              134128 ,            90888 ,               38616 ,            28112 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  81 ,   2 ,        84 ,      57 ,        27 ,    24.07 ,        19 ,      14 ,         5 ,    26.16 ,              140560 ,            92888 ,               37112 ,            26352 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  82 ,   3 ,        81 ,      58 ,        23 ,    23.84 ,        21 ,      13 ,         8 ,    26.43 ,              132336 ,            92624 ,               40744 ,            25544 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  83 ,   4 ,        78 ,      57 ,        21 ,    24.15 ,        21 ,      13 ,         8 ,    26.57 ,              127280 ,            90360 ,               39232 ,            24224 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  84 ,   5 ,        81 ,      56 ,        25 ,    23.79 ,        22 ,      12 ,        10 ,    26.27 ,              137904 ,            89704 ,               40880 ,            22048 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  85 ,   6 ,        85 ,      57 ,        28 ,    24.41 ,        25 ,      14 ,        11 ,    26.76 ,              147240 ,            92360 ,               48296 ,            25712 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  86 ,   7 ,        89 ,      56 ,        33 ,    24.21 ,        28 ,      12 ,        16 ,    26.36 ,              153832 ,            90464 ,               53184 ,            22784 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  87 ,   8 ,        88 ,      55 ,        33 ,    23.86 ,        25 ,      11 ,        14 ,    25.96 ,              154168 ,            88336 ,               45864 ,            19640 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  88 ,   9 ,        93 ,      55 ,        38 ,    24.05 ,        21 ,      11 ,        10 ,    26.43 ,              161392 ,            88576 ,               43432 ,            21912 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  89 ,  10 ,        92 ,      55 ,        37 ,    24.28 ,        22 ,      11 ,        11 ,    26.27 ,              162440 ,            89792 ,               44816 ,            21528 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  90 ,  11 ,        96 ,      54 ,        42 ,    24.26 ,        26 ,      12 ,        14 ,    26.23 ,              164320 ,            85408 ,               52528 ,            23616 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  91 ,  12 ,        97 ,      53 ,        44 ,    24.26 ,        25 ,      13 ,        12 ,    26.2  ,              167640 ,            84816 ,               47368 ,            23944 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  92 ,  13 ,        97 ,      55 ,        42 ,    24.36 ,        18 ,      12 ,         6 ,    26.44 ,              166832 ,            88712 ,               34352 ,            23072 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  93 ,  14 ,        95 ,      50 ,        45 ,    24.02 ,        20 ,      12 ,         8 ,    26.2  ,              152400 ,            79400 ,               40320 ,            24704 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  94 ,  15 ,        93 ,      53 ,        40 ,    24.61 ,        19 ,      13 ,         6 ,    26.79 ,              154792 ,            86688 ,               38168 ,            26888 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  95 ,  16 ,        92 ,      54 ,        38 ,    24.3  ,        19 ,      13 ,         6 ,    26.05 ,              150216 ,            88400 ,               39736 ,            27208 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  96 ,  17 ,        91 ,      52 ,        39 ,    23.92 ,        19 ,      13 ,         6 ,    25.84 ,              141008 ,            81824 ,               38872 ,            26344 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  97 ,  18 ,        96 ,      52 ,        44 ,    24.06 ,        19 ,      13 ,         6 ,    25.84 ,              151808 ,            82800 ,               39192 ,            26664 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  98 ,  19 ,        91 ,      55 ,        36 ,    24.65 ,        21 ,      13 ,         8 ,    26.62 ,              153728 ,            92808 ,               42888 ,            27304 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
  99 ,  20 ,        88 ,      56 ,        32 ,    23.89 ,        18 ,      13 ,         5 ,    25.83 ,              142808 ,            90256 ,               37488 ,            26728 ,  7 ,     25000000 ,    51 ,        5 ,1280 ,  25000000 ,1.45e-05               ,10000000 ,        1 ,                0
 100 ,   1 ,       155 ,     124 ,        31 ,    20.22 ,        85 ,      67 ,        18 ,    21.52 ,               21944 ,            17016 ,               23472 ,            17704 ,  2 ,     10000000 ,    51 ,        5 ,1500 ,  10000000 ,6.22e-05               ,10000000 ,        1 ,                0
